timestamp,TimeSGT,TemperatureC,Dew PointC,Humidity,Sea Level PressurehPa,VisibilityKm,Wind Direction,Wind SpeedKm/h,Gust SpeedKm/h,Precipitationmm,Events,Conditions,WindDirDegrees,DateUTC<br />,timestamp
2012-02-02 05:00:00,5:00 AM,26.0,25.0,94,1010,10.0,ENE,1.9,-,,,Mostly Cloudy,60,2012-02-01 21:00:00<br />,2012-02-02 05:00:00
2012-02-02 06:00:00,6:00 AM,26.0,25.0,94,1010,10.0,East,3.7,-,,,Mostly Cloudy,80,2012-02-01 22:00:00<br />,2012-02-02 06:00:00
2012-02-02 07:00:00,7:00 AM,26.0,25.0,94,1010,10.0,ENE,1.9,-,,,Mostly Cloudy,60,2012-02-01 23:00:00<br />,2012-02-02 07:00:00
2012-02-02 08:00:00,8:00 AM,26.0,25.0,94,1011,10.0,NE,3.7,-,,,Mostly Cloudy,50,2012-02-02 00:00:00<br />,2012-02-02 08:00:00
2012-02-02 09:00:00,9:00 AM,27.0,24.0,84,1012,10.0,East,5.6,-,,,Mostly Cloudy,80,2012-02-02 01:00:00<br />,2012-02-02 09:00:00
2012-02-02 10:00:00,10:00 AM,28.0,25.0,84,1012,10.0,ENE,7.4,-,,,Mostly Cloudy,70,2012-02-02 02:00:00<br />,2012-02-02 10:00:00
2012-02-02 11:00:00,11:00 AM,29.0,24.0,74,1012,10.0,East,7.4,-,,,Mostly Cloudy,100,2012-02-02 03:00:00<br />,2012-02-02 11:00:00
2012-02-02 12:00:00,12:00 PM,30.0,25.0,74,1012,10.0,East,7.4,-,,,Mostly Cloudy,100,2012-02-02 04:00:00<br />,2012-02-02 12:00:00
2012-02-02 12:25:00,12:25 PM,28.0,24.0,79,1012,2.0,NNE,13.0,38.9,,Rain,Light Rain Showers,20,2012-02-02 04:25:00<br />,2012-02-02 12:25:00
2012-02-02 12:30:00,12:30 PM,27.0,24.0,84,1012,1.0,NNE,16.7,46.3,,Rain,Heavy Rain Showers,20,2012-02-02 04:30:00<br />,2012-02-02 12:30:00
2012-02-02 12:40:00,12:40 PM,24.0,23.0,94,1012,2.0,NNE,24.1,-,,Rain-Thunderstorm,Heavy Thunderstorms and Rain,20,2012-02-02 04:40:00<br />,2012-02-02 12:40:00
2012-02-02 13:00:00,1:00 PM,23.0,23.0,100,1012,3.0,WSW,16.7,-,,Rain-Thunderstorm,Heavy Thunderstorms and Rain,240,2012-02-02 05:00:00<br />,2012-02-02 13:00:00
2012-02-02 13:25:00,1:25 PM,24.0,23.0,94,1011,5.0,WSW,13.0,-,,Rain-Thunderstorm,Light Thunderstorms and Rain,250,2012-02-02 05:25:00<br />,2012-02-02 13:25:00
2012-02-02 14:00:00,2:00 PM,24.0,23.0,94,1011,2.5,SW,9.3,-,,Rain-Thunderstorm,Heavy Thunderstorms and Rain,220,2012-02-02 06:00:00<br />,2012-02-02 14:00:00
2012-02-02 14:32:00,2:32 PM,24.0,23.0,94,1010,5.0,WSW,7.4,-,,Rain,Heavy Rain,250,2012-02-02 06:32:00<br />,2012-02-02 14:32:00
2012-02-02 15:00:00,3:00 PM,24.0,23.0,94,1010,6.0,West,5.6,-,,Rain,Rain,280,2012-02-02 07:00:00<br />,2012-02-02 15:00:00
2012-02-02 15:25:00,3:25 PM,24.0,23.0,94,1009,10.0,West,3.7,-,,Rain,Light Rain,270,2012-02-02 07:25:00<br />,2012-02-02 15:25:00
2012-02-02 16:00:00,4:00 PM,25.0,23.0,89,1009,10.0,West,1.9,-,,,Scattered Clouds,280,2012-02-02 08:00:00<br />,2012-02-02 16:00:00
2012-02-02 17:00:00,5:00 PM,26.0,23.0,83,1008,10.0,ENE,3.7,-,,,Mostly Cloudy,70,2012-02-02 09:00:00<br />,2012-02-02 17:00:00
2012-02-02 18:00:00,6:00 PM,26.0,24.0,89,1008,8.0,ENE,5.6,-,,Rain,Light Rain,70,2012-02-02 10:00:00<br />,2012-02-02 18:00:00
2012-02-02 19:00:00,7:00 PM,26.0,23.0,83,1008,10.0,NE,5.6,-,,,Mostly Cloudy,40,2012-02-02 11:00:00<br />,2012-02-02 19:00:00
2012-02-02 20:00:00,8:00 PM,26.0,23.0,83,1009,10.0,ENE,7.4,-,,,Mostly Cloudy,60,2012-02-02 12:00:00<br />,2012-02-02 20:00:00
2012-02-02 21:00:00,9:00 PM,26.0,23.0,83,1010,10.0,ENE,9.3,-,,,Mostly Cloudy,70,2012-02-02 13:00:00<br />,2012-02-02 21:00:00
