timestamp,Conditions,DateUTC<br />,Dew PointC,Events,Gust SpeedKm/h,Humidity,Precipitationmm,Sea Level PressurehPa,TemperatureC,TimeCDT,TimeCST,VisibilityKm,Wind Direction,Wind SpeedKm/h,WindDirDegrees,timestamp
2012-01-01 00:53:00,Scattered Clouds,2012-01-01 06:53:00<br />,1.7,,-,49.0,,1014.4,12.2,,12:53 AM,16.1,South,18.5,180,2012-01-01 00:53:00
2012-01-01 01:53:00,Mostly Cloudy,2012-01-01 07:53:00<br />,3.9,,-,53.0,,1014.4,13.3,,1:53 AM,16.1,SSW,25.9,200,2012-01-01 01:53:00
2012-01-01 02:53:00,Mostly Cloudy,2012-01-01 08:53:00<br />,6.0,,-,59.0,,1014.1,14.0,,2:53 AM,16.1,South,18.5,180,2012-01-01 02:53:00
2012-01-01 03:53:00,Overcast,2012-01-01 09:53:00<br />,8.3,,-,67.0,,1013.4,14.4,,3:53 AM,16.1,SSW,18.5,200,2012-01-01 03:53:00
2012-01-01 04:06:00,Overcast,2012-01-01 10:06:00<br />,9.0,,-,67.0,,1013.4,15.0,,4:06 AM,16.1,SSW,18.5,200,2012-01-01 04:06:00
2012-01-01 04:19:00,Overcast,2012-01-01 10:19:00<br />,9.0,,-,67.0,,1013.4,15.0,,4:19 AM,16.1,South,18.5,190,2012-01-01 04:19:00
2012-01-01 04:53:00,Mostly Cloudy,2012-01-01 10:53:00<br />,10.0,,-,69.0,,1013.1,15.6,,4:53 AM,16.1,SSW,20.4,200,2012-01-01 04:53:00
2012-01-01 05:53:00,Mostly Cloudy,2012-01-01 11:53:00<br />,10.6,,-,72.0,,1012.8,15.6,,5:53 AM,16.1,SSW,16.7,210,2012-01-01 05:53:00
2012-01-01 06:53:00,Overcast,2012-01-01 12:53:00<br />,11.1,,-,75.0,,1013.7,15.6,,6:53 AM,16.1,SW,14.8,230,2012-01-01 06:53:00
2012-01-01 07:53:00,Scattered Clouds,2012-01-01 13:53:00<br />,7.8,,51.9,60.0,,1015.1,15.6,,7:53 AM,16.1,West,33.3,280,2012-01-01 07:53:00
2012-01-01 08:53:00,Partly Cloudy,2012-01-01 14:53:00<br />,0.0,,51.9,37.0,,1017.4,14.4,,8:53 AM,16.1,West,37.0,270,2012-01-01 08:53:00
2012-01-01 09:53:00,Partly Cloudy,2012-01-01 15:53:00<br />,0.0,,44.4,39.0,,1019.0,13.9,,9:53 AM,16.1,WNW,27.8,290,2012-01-01 09:53:00
2012-01-01 10:53:00,Partly Cloudy,2012-01-01 16:53:00<br />,0.6,,42.6,40.0,,1019.8,13.9,,10:53 AM,16.1,WNW,20.4,300,2012-01-01 10:53:00
2012-01-01 11:53:00,Partly Cloudy,2012-01-01 17:53:00<br />,0.6,,38.9,43.0,,1020.2,12.8,,11:53 AM,16.1,NW,24.1,310,2012-01-01 11:53:00
2012-01-01 12:53:00,Partly Cloudy,2012-01-01 18:53:00<br />,-0.6,,40.7,41.0,,1020.4,12.2,,12:53 PM,16.1,WNW,22.2,300,2012-01-01 12:53:00
2012-01-01 13:53:00,Partly Cloudy,2012-01-01 19:53:00<br />,-1.7,,37.0,37.0,,1020.7,12.8,,1:53 PM,16.1,WNW,27.8,290,2012-01-01 13:53:00
2012-01-01 14:53:00,Scattered Clouds,2012-01-01 20:53:00<br />,-1.7,,31.5,38.0,,1021.8,12.2,,2:53 PM,16.1,NW,16.7,310,2012-01-01 14:53:00
2012-01-01 15:53:00,Scattered Clouds,2012-01-01 21:53:00<br />,-4.4,,37.0,34.0,,1022.7,11.1,,3:53 PM,16.1,NW,20.4,320,2012-01-01 15:53:00
2012-01-01 16:53:00,Scattered Clouds,2012-01-01 22:53:00<br />,-2.8,,-,43.0,,1023.5,9.4,,4:53 PM,16.1,WNW,14.8,300,2012-01-01 16:53:00
2012-01-01 17:53:00,Clear,2012-01-01 23:53:00<br />,-3.9,,-,41.0,,1024.5,8.9,,5:53 PM,16.1,WNW,9.3,300,2012-01-01 17:53:00
