timestamp,Conditions,DateUTC<br />,Dew PointC,Events,Gust SpeedKm/h,Humidity,Precipitationmm,Sea Level PressurehPa,TemperatureC,TimePDT,TimePST,VisibilityKm,Wind Direction,Wind SpeedKm/h,WindDirDegrees,timestamp
2012-01-01 00:53:00,Light Rain,2012-01-01 08:53:00<br />,0.6,Rain,-,77.0,0.0,1025.6,4.4,,12:53 AM,16.1,NNE,5.6,20,2012-01-01 00:53:00
2012-01-01 01:53:00,Overcast,2012-01-01 09:53:00<br />,0.0,,-,70.0,0.0,1025.4,5.0,,1:53 AM,16.1,NNE,7.4,30,2012-01-01 01:53:00
2012-01-01 02:53:00,Overcast,2012-01-01 10:53:00<br />,0.6,,-,73.0,0.0,1025.5,5.0,,2:53 AM,16.1,NNE,7.4,20,2012-01-01 02:53:00
2012-01-01 03:53:00,Overcast,2012-01-01 11:53:00<br />,0.0,,-,70.0,,1025.2,5.0,,3:53 AM,16.1,North,9.3,10,2012-01-01 03:53:00
2012-01-01 04:53:00,Overcast,2012-01-01 12:53:00<br />,0.6,,-,73.0,,1024.9,5.0,,4:53 AM,16.1,NNE,9.3,20,2012-01-01 04:53:00
2012-01-01 05:53:00,Overcast,2012-01-01 13:53:00<br />,0.6,,-,70.0,,1024.4,5.6,,5:53 AM,16.1,North,7.4,10,2012-01-01 05:53:00
2012-01-01 06:53:00,Overcast,2012-01-01 14:53:00<br />,0.6,,-,73.0,,1024.4,5.0,,6:53 AM,16.1,North,7.4,360,2012-01-01 06:53:00
2012-01-01 07:53:00,Overcast,2012-01-01 15:53:00<br />,1.1,,-,79.0,,1025.1,4.4,,7:53 AM,16.1,NNW,5.6,340,2012-01-01 07:53:00
2012-01-01 08:53:00,Clear,2012-01-01 16:53:00<br />,1.1,,-,76.0,,1024.7,5.0,,8:53 AM,16.1,NNE,5.6,20,2012-01-01 08:53:00
2012-01-01 09:53:00,Scattered Clouds,2012-01-01 17:53:00<br />,1.0,,-,66.0,,1024.3,7.0,,9:53 AM,16.1,North,5.6,350,2012-01-01 09:53:00
2012-01-01 10:53:00,Clear,2012-01-01 18:53:00<br />,-0.6,,-,54.0,,1024.0,8.3,,10:53 AM,16.1,North,7.4,360,2012-01-01 10:53:00
2012-01-01 11:53:00,Clear,2012-01-01 19:53:00<br />,-0.6,,-,50.0,,1023.2,9.4,,11:53 AM,16.1,North,9.3,360,2012-01-01 11:53:00
2012-01-01 12:53:00,Clear,2012-01-01 20:53:00<br />,1.0,,-,54.0,,1021.6,10.0,,12:53 PM,16.1,North,11.1,360,2012-01-01 12:53:00
2012-01-01 13:53:00,Clear,2012-01-01 21:53:00<br />,0.6,,-,50.0,,1021.3,10.6,,1:53 PM,16.1,North,9.3,360,2012-01-01 13:53:00
2012-01-01 14:53:00,Clear,2012-01-01 22:53:00<br />,0.0,,-,47.0,,1020.9,11.1,,2:53 PM,16.1,North,9.3,10,2012-01-01 14:53:00
2012-01-01 15:53:00,Clear,2012-01-01 23:53:00<br />,-0.6,,-,48.0,,1020.7,10.0,,3:53 PM,16.1,NNE,7.4,20,2012-01-01 15:53:00
2012-01-01 16:53:00,Clear,2012-01-02 00:53:00<br />,0.0,,-,60.0,,1020.3,7.2,,4:53 PM,16.1,NNW,5.6,340,2012-01-01 16:53:00
2012-01-01 17:53:00,Clear,2012-01-02 01:53:00<br />,-0.6,,-,56.0,,1020.1,7.8,,5:53 PM,16.1,Calm,Calm,0,2012-01-01 17:53:00
2012-01-01 18:53:00,Clear,2012-01-02 02:53:00<br />,-0.6,,-,54.0,,1019.9,8.3,,6:53 PM,16.1,North,5.6,360,2012-01-01 18:53:00
