timestamp,Conditions,Conditions<br />,DateUTC<br />,Dew PointC,Events,Gust SpeedKm/h,Humidity,Precipitationmm,Sea Level PressurehPa,TemperatureC,Time,TimeBST,TimeGMT,VisibilityKm,Wind Direction,Wind SpeedKm/h,WindDirDegrees,timestamp
2014-12-01 00:20:00,Mostly Cloudy,,2014-12-01 00:20:00<br />,5.0,,-,81.0,,1013.0,8.0,,,12:20 AM,10.0,NNE,18.5,20.0,2014-12-01 00:20:00
2014-12-01 01:50:00,Mostly Cloudy,,2014-12-01 01:50:00<br />,5.0,,-,81.0,,1013.0,8.0,,,1:50 AM,10.0,NNE,18.5,20.0,2014-12-01 01:50:00
2014-12-01 02:50:00,Mostly Cloudy,,2014-12-01 02:50:00<br />,4.0,,-,76.0,,1013.0,8.0,,,2:50 AM,10.0,NNE,18.5,30.0,2014-12-01 02:50:00
2014-12-01 03:50:00,Mostly Cloudy,,2014-12-01 03:50:00<br />,4.0,,-,81.0,,1013.0,7.0,,,3:50 AM,10.0,NNE,14.8,30.0,2014-12-01 03:50:00
2014-12-01 04:50:00,Mostly Cloudy,,2014-12-01 04:50:00<br />,4.0,,-,81.0,,1013.0,7.0,,,4:50 AM,10.0,North,13.0,10.0,2014-12-01 04:50:00
2014-12-01 05:20:00,Mostly Cloudy,,2014-12-01 05:20:00<br />,4.0,,-,81.0,,1013.0,7.0,,,5:20 AM,10.0,NNE,13.0,20.0,2014-12-01 05:20:00
2014-12-01 05:50:00,Mostly Cloudy,,2014-12-01 05:50:00<br />,5.0,,-,87.0,,1013.0,7.0,,,5:50 AM,10.0,NNE,13.0,20.0,2014-12-01 05:50:00
2014-12-01 06:20:00,Light Drizzle,,2014-12-01 06:20:00<br />,4.0,,-,81.0,,1013.0,7.0,,,6:20 AM,10.0,NNE,18.5,30.0,2014-12-01 06:20:00
2014-12-01 06:50:00,Overcast,,2014-12-01 06:50:00<br />,5.0,,-,87.0,,1013.0,7.0,,,6:50 AM,10.0,NE,16.7,40.0,2014-12-01 06:50:00
2014-12-01 07:20:00,Overcast,,2014-12-01 07:20:00<br />,5.0,,-,87.0,,1013.0,7.0,,,7:20 AM,10.0,NNE,16.7,20.0,2014-12-01 07:20:00
2014-12-01 07:50:00,Overcast,,2014-12-01 07:50:00<br />,4.0,,-,81.0,,1013.0,7.0,,,7:50 AM,9.0,NNE,16.7,30.0,2014-12-01 07:50:00
2014-12-01 08:20:00,Overcast,,2014-12-01 08:20:00<br />,4.0,,-,81.0,,1014.0,7.0,,,8:20 AM,9.0,NNE,16.7,30.0,2014-12-01 08:20:00
2014-12-01 08:50:00,Light Drizzle,,2014-12-01 08:50:00<br />,4.0,,-,81.0,,1013.0,7.0,,,8:50 AM,9.0,NNE,13.0,30.0,2014-12-01 08:50:00
2014-12-01 09:20:00,Overcast,,2014-12-01 09:20:00<br />,4.0,,-,81.0,,1014.0,7.0,,,9:20 AM,9.0,NNE,16.7,20.0,2014-12-01 09:20:00
2014-12-01 09:50:00,Overcast,,2014-12-01 09:50:00<br />,4.0,,-,81.0,,1014.0,7.0,,,9:50 AM,9.0,NNE,13.0,20.0,2014-12-01 09:50:00
2014-12-01 10:20:00,Overcast,,2014-12-01 10:20:00<br />,4.0,,-,81.0,,1014.0,7.0,,,10:20 AM,9.0,NNE,14.8,20.0,2014-12-01 10:20:00
