timestamp,Conditions,DateUTC<br />,Dew PointC,Events,Gust SpeedKm/h,Humidity,Precipitationmm,Sea Level PressurehPa,TemperatureC,TimeEDT,TimeEST,VisibilityKm,Wind Direction,Wind SpeedKm/h,WindDirDegrees,timestamp
2012-01-01 00:53:00,Scattered Clouds,2012-01-01 05:53:00<br />,2.8,,-,74.0,,1017.3,7.2,,12:53 AM,16.1,Calm,Calm,0,2012-01-01 00:53:00
2012-01-01 01:24:00,Mostly Cloudy,2012-01-01 06:24:00<br />,3.0,,-,76.0,,1017.5,7.0,,1:24 AM,16.1,Calm,Calm,0,2012-01-01 01:24:00
2012-01-01 01:53:00,Mostly Cloudy,2012-01-01 06:53:00<br />,2.2,,-,82.0,,1017.8,5.0,,1:53 AM,16.1,West,7.4,260,2012-01-01 01:53:00
2012-01-01 02:53:00,Partly Cloudy,2012-01-01 07:53:00<br />,1.1,,-,93.0,,1018.0,2.2,,2:53 AM,16.1,Calm,Calm,0,2012-01-01 02:53:00
2012-01-01 04:53:00,Clear,2012-01-01 09:53:00<br />,0.0,,-,92.0,,1017.7,1.1,,4:53 AM,12.9,Calm,Calm,0,2012-01-01 04:53:00
2012-01-01 05:53:00,Clear,2012-01-01 10:53:00<br />,-1.1,,-,96.0,,1018.4,-0.6,,5:53 AM,9.7,Calm,Calm,0,2012-01-01 05:53:00
2012-01-01 07:53:00,Clear,2012-01-01 12:53:00<br />,-2.2,,-,96.0,,1019.3,-1.7,,7:53 AM,8.0,Calm,Calm,0,2012-01-01 07:53:00
2012-01-01 08:17:00,Mostly Cloudy,2012-01-01 13:17:00<br />,-1.0,,-,100.0,,1018.8,-1.0,,8:17 AM,8.0,Calm,Calm,0,2012-01-01 08:17:00
2012-01-01 08:53:00,Mostly Cloudy,2012-01-01 13:53:00<br />,0.6,,-,92.0,,1019.0,1.7,,8:53 AM,11.3,Calm,Calm,0,2012-01-01 08:53:00
2012-01-01 09:06:00,Scattered Clouds,2012-01-01 14:06:00<br />,1.0,,-,93.0,,1018.5,2.0,,9:06 AM,12.9,Calm,Calm,0,2012-01-01 09:06:00
2012-01-01 09:53:00,Clear,2012-01-01 14:53:00<br />,3.3,,-,82.0,,1018.1,6.1,,9:53 AM,16.1,Calm,Calm,0,2012-01-01 09:53:00
2012-01-01 10:53:00,Clear,2012-01-01 15:53:00<br />,3.3,,-,71.0,,1016.6,8.3,,10:53 AM,16.1,South,9.3,180,2012-01-01 10:53:00
2012-01-01 11:53:00,Clear,2012-01-01 16:53:00<br />,2.8,,-,59.0,,1014.8,10.6,,11:53 AM,16.1,Variable,11.1,0,2012-01-01 11:53:00
2012-01-01 12:53:00,Partly Cloudy,2012-01-01 17:53:00<br />,2.8,,29.6,57.0,,1012.7,11.1,,12:53 PM,16.1,South,14.8,180,2012-01-01 12:53:00
