id,name,address,square_feet,PSU,EUI,city,country,state,yearBuilt,grossFloorArea,numberOfBuildings,occupancyPercentage,primaryFunction,propGrossFloorArea,referencePropertyTypeMedian,systemDefinedPropertyType,annual_electricity_use,annual_energy_cost,annual_ghg_emissions,annual_natural_gas_use,cost_per_square_foot,gas_percent_of_energy_cost,latitude,longitude
1,1st District Headquarters,101 M STREET SW,90635.00,Police Station,78.00,Washington,US,DC,2011,90635,1.00,100.00,Other - Public Services,233500.00,CBECS - Fire Station/Police Station,Police Station,1549348.79,"$198,497.95",1011.75,17683.92,$2.19,8.68%,38.88,-77.01
10,Shadd Elementary,5601 EAST CAPITOL STREET SE,72100.00,K-12 School,65.00,Washington,US,DC,1000,72100,1.00,100.00,K-12 School,72100.00,CBECS - Elementary/Middle & High School,K-12 School,534735.00,"$90,468.12",468.73,28649.00,$1.25,30.84%,,
100,Johnson Middle School,1400 BRUCE PLACE SE,182500.00,K-12 School,46.00,Washington,US,DC,1970,182500,1.00,100.00,K-12 School,182500.00,CBECS - Elementary/Middle & High School,K-12 School,1726578.97,"$227,054.24",1159.33,25713.04,$1.24,11.03%,,
101,Douglass Community Center,1898 STANTON TERRACE SE,4336.00,Social/Meeting Hall,31.00,,,,,,,,,,,,39184.10,"$4,584.54",23.22,0.00,$1.06,,38.85,-76.98
102,Group Home,1259 SUMNER ROAD SE,2000.00,Other - Lodging/Residential,86.00,,,,,,,,,,,,22182.40,"$3,529.19",18.23,958.78,$1.76,26.46%,,
103,Malcolm X Elementary School @ Green - Achievement Prep,1500 MISSISSIPPI AVENUE SE,77700.00,K-12 School,64.00,Washington,US,DC,1000,77700,1.00,100.00,K-12 School,77700.00,CBECS - Elementary/Middle & High School,K-12 School,627695.48,"$100,658.45",520.07,27944.64,$1.30,27.04%,,
104,Parklands Turner Library,1547 ALABAMA AVENUE SE,4925.00,Library,83.00,,,,,,,,,,,,68539.94,"$9,745.06",50.00,1771.96,$1.98,17.71%,38.85,-76.98
105,Virginia Avenue Park,1001A VIRGINIA AVENUE SE,,Other - Recreation,,,,,,,,,,,,,734.32,$85.92,0.44,0.00,,,,
106,Tyler Elementary School,1001 G STREET SE,69600.00,K-12 School,62.00,Washington,US,DC,1949,69600,1.00,100.00,K-12 School,69600.00,CBECS - Elementary/Middle & High School,K-12 School,471566.12,"$81,627.46",423.41,27160.39,$1.17,32.41%,,
107,Engine Company #18,414 8TH STREET SE,13224.00,Fire Station,103.00,Washington,US,DC,1965,13224,1.00,100.00,Other - Public Services,13224.00,CBECS - Other,Other - Public Services,190146.17,"$29,140.27",150.18,7077.17,$2.20,23.66%,,
108,Lamond School Annex,1338 G STREET SE,21368.00,Social/Meeting Hall,28.00,,,,,,,,,,,,99566.05,"$14,091.68",72.29,2507.65,$0.66,17.33%,,
109,Watkins Elementary School,420 12TH STREET SE,69300.00,K-12 School,59.00,Washington,US,DC,2017,69300,1.00,50.00,K-12 School,69300.00,CBECS - Elementary/Middle & High School,K-12 School,889930.02,"$114,583.17",584.23,10740.61,$1.65,9.13%,,
11,Fort Davis Recreation Center,1400 41ST STREET SE,14913.00,Other - Recreation,81.00,Washington,US,DC,1000,13555,1.00,100.00,Other - Recreation,13555.00,CBECS - Recreation,Other - Recreation,356113.35,"$41,665.26",211.00,0.00,$2.79,,38.87,-76.94
