building_name,BG_breakouts_max:
PrimClass_Everett,6.0
UnivClass_Clifford,4.0
Office_Elizabeth,2.0
Office_Ellie,2.0
PrimClass_Elisabeth,2.0
Office_Cristina,2.0
PrimClass_Jolie,10.0
PrimClass_Jaylin,9.0
Office_Jesus,2.0
PrimClass_Esmeralda,5.0
PrimClass_Eoghan,5.0
PrimClass_Edwin,6.0
PrimClass_Eli,6.0
PrimClass_Ethel,7.0
PrimClass_Ernesto,7.0
PrimClass_Emanuela,7.0
PrimClass_Emilio,4.0
PrimClass_Eleanor,4.0
PrimClass_Ezekiel,6.0
PrimClass_Elliott,8.0
PrimClass_Ellen,7.0
PrimClass_Evie,6.0
PrimClass_Elijah,6.0
PrimClass_Ezra,6.0
PrimClass_Edmund,2.0
PrimClass_Eva,6.0
Office_Erik,6.0
PrimClass_Ebony,4.0
PrimClass_Ethan,4.0
PrimClass_Elmer,6.0
PrimClass_Ervin,5.0
PrimClass_Uma,8.0
UnivClass_Tamra,5.0
PrimClass_Ernest,5.0
PrimClass_Emily,6.0
Office_Evelyn,0.0
PrimClass_Jayla,9.0
Office_Emer,3.0
PrimClass_Janiya,9.0
PrimClass_Umar,8.0
Office_Elena,3.0
PrimClass_Janice,3.0
Office_Jett,2.0
UnivDorm_Una,5.0
UnivLab_Paul,4.0
Office_Jerry,3.0
Office_Eileen,0.0
PrimClass_Uriah,8.0
PrimClass_Ulysses,8.0
Office_Lesa,5.0
UnivDorm_Claudia,7.0
Office_Emerald,0.0
Office_Ellis,4.0
UnivClass_Tammy,4.0
PrimClass_Jaden,8.0
Office_Elliot,3.0
PrimClass_Jermaine,8.0
PrimClass_Josephine,9.0
Office_Eddie,3.0
Office_Jackie,2.0
UnivDorm_Carla,4.0
UnivClass_Camden,1.0
PrimClass_Javier,9.0
PrimClass_Jeanette,4.0
PrimClass_Julius,10.0
PrimClass_Jaylinn,8.0
PrimClass_Johanna,9.0
PrimClass_Jodie,8.0
PrimClass_Johnathan,9.0
PrimClass_Janis,8.0
PrimClass_Jamal,9.0
PrimClass_Jose,7.0
PrimClass_Julianna,9.0
PrimClass_Jasmine,7.0
PrimClass_Jazmine,7.0
