uid,dataend,datastart,energystarscore,heatingtype,industry,mainheatingtype,numberoffloors,occupants,primaryspaceusage,rating,sqft,sqm,subindustry,timezone,yearbuilt,nickname,primaryspaceuse_abbrev,newweatherfilename
PrimClass_Ernie,2012-12-31 23:00:00,2012-01-01 00:00:00,,,Education,,,,Primary/Secondary Classroom,,105530.0,9804.05359,Primary/Secondary School,America/New_York,,Ernie,PrimClass,weather12.csv
UnivClass_Corbin,2015-12-31 23:00:00,2015-01-01 00:00:00,,,Education,,,,College Classroom,,56969.0,5292.591007,College/University,America/New_York,1967.0,Corbin,UnivClass,weather2.csv
Office_Ellis,2012-12-31 23:00:00,2012-01-01 00:00:00,,,Commercial Property,,,,Office,,294651.0,27373.961853,Commercial Real Estate,America/Los_Angeles,,Ellis,Office,weather22.csv
Office_Earl,2012-12-31 23:00:00,2012-01-01 00:00:00,,,Commercial Property,,,,Office,,496517.0,46127.918851,Bank/Financial Services,America/Los_Angeles,,Earl,Office,weather28.csv
PrimClass_Elisa,2012-12-31 23:00:00,2012-01-01 00:00:00,,,Education,,,,Primary/Secondary Classroom,,233062.0,21652.158986,Primary/Secondary School,America/New_York,,Elisa,PrimClass,weather23.csv
Office_Christopher,2015-12-31 23:00:00,2015-01-01 00:00:00,,,Education,,,,Office,,92271.0,8572.252713,College/University,America/New_York,2001.0,Christopher,Office,weather2.csv
PrimClass_Jo,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Education,Gas,2.0,212.0,Primary/Secondary Classroom,C,31505.9353,2927.0,Primary/Secondary School,Europe/London,pre 1919,Jo,PrimClass,weather1.csv
PrimClass_Johnnie,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Education,Gas,2.0,219.0,Primary/Secondary Classroom,C,47070.5347,4373.0,Primary/Secondary School,Europe/London,1919-1945,Johnnie,PrimClass,weather1.csv
Office_Jeannette,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Government,Gas,1.0,40.0,Office,C,42646.5718,3962.0,"City, County, State",Europe/London,Post 1976,Jeannette,Office,weather1.csv
PrimClass_Emerald,2012-12-31 23:00:00,2012-01-01 00:00:00,,,Education,,,,Primary/Secondary Classroom,,276443.0,25682.384029,Primary/Secondary School,America/New_York,,Emerald,PrimClass,weather17.csv
PrimClass_Emma,2012-12-31 23:00:00,2012-01-01 00:00:00,,,Education,,,,Primary/Secondary Classroom,,315404.0,29301.977812,Primary/Secondary School,America/New_York,,Emma,PrimClass,weather14.csv
PrimClass_Emanuel,2012-12-31 23:00:00,2012-01-01 00:00:00,,,Education,,,,Primary/Secondary Classroom,,77247.0,7176.478041,Primary/Secondary School,America/Denver,,Emanuel,PrimClass,weather35.csv
PrimClass_Emer,2012-12-31 23:00:00,2012-01-01 00:00:00,,,Education,,,,Primary/Secondary Classroom,,108405.0,10071.149715,Primary/Secondary School,America/New_York,,Emer,PrimClass,weather12.csv
PrimClass_Eoghan,2012-12-31 23:00:00,2012-01-01 00:00:00,,,Education,,,,Primary/Secondary Classroom,,92032.0,8550.048896,Primary/Secondary School,America/Denver,,Eoghan,PrimClass,weather18.csv
PrimClass_Eli,2012-12-31 23:00:00,2012-01-01 00:00:00,,,Education,,,,Primary/Secondary Classroom,,72333.0,6719.952699,Primary/Secondary School,America/Denver,,Eli,PrimClass,weather18.csv
PrimClass_Edgar,2012-12-31 23:00:00,2012-01-01 00:00:00,,,Education,,,,Primary/Secondary Classroom,,95132.0,8838.048196,Primary/Secondary School,America/Chicago,,Edgar,PrimClass,weather26.csv
PrimClass_Eliana,2012-12-31 23:00:00,2012-01-01 00:00:00,,,Education,,,,Primary/Secondary Classroom,,105215.0,9774.789145,Primary/Secondary School,America/New_York,,Eliana,PrimClass,weather12.csv
PrimClass_Ewan,2012-12-31 23:00:00,2012-01-01 00:00:00,,,Education,,,,Primary/Secondary Classroom,,81681.0,7588.409943,Primary/Secondary School,America/New_York,,Ewan,PrimClass,weather24.csv
PrimClass_Emanuela,2012-12-31 23:00:00,2012-01-01 00:00:00,,,Education,,,,Primary/Secondary Classroom,,153699.0,14279.098197,Primary/Secondary School,America/New_York,,Emanuela,PrimClass,weather29.csv
PrimClass_Erika,2012-12-31 23:00:00,2012-01-01 00:00:00,,,Education,,,,Primary/Secondary Classroom,,217241.0,20182.340623,Primary/Secondary School,America/New_York,,Erika,PrimClass,weather15.csv
PrimClass_Eugene,2012-12-31 23:00:00,2012-01-01 00:00:00,,,Education,,,,Primary/Secondary Classroom,,79503.0,7386.067209,Primary/Secondary School,America/Chicago,,Eugene,PrimClass,weather19.csv
PrimClass_Eleanor,2012-12-31 23:00:00,2012-01-01 00:00:00,,,Education,,,,Primary/Secondary Classroom,,197266.0,18326.603198,Primary/Secondary School,America/Chicago,,Eleanor,PrimClass,weather11.csv
