uid,dataend,datastart,energystarscore,heatingtype,industry,mainheatingtype,numberoffloors,occupants,primaryspaceusage,rating,sqft,sqm,subindustry,timezone,yearbuilt,nickname,primaryspaceuse_abbrev,newweatherfilename,dailymeancons,usagecategory,operationsgroup
PrimClass_Everett,2012-12-31 23:00:00,2012-01-01 00:00:00,,,Education,,,,Primary/Secondary Classroom,,105530.0,9804.05359,Primary/Secondary School,America/New_York,,Everett,PrimClass,weather12.csv,0.00593468952069,Low,Misc
UnivClass_Clifford,2015-12-31 23:00:00,2015-01-01 00:00:00,,,Education,,,,College Classroom,,56969.0,5292.591007,College/University,America/New_York,1967,Clifford,UnivClass,weather2.csv,0.00646388353319,Low,Group3
Office_Elizabeth,2012-12-31 23:00:00,2012-01-01 00:00:00,,,Commercial Property,,,,Office,,294651.0,27373.96185,Commercial Real Estate,America/Los_Angeles,,Elizabeth,Office,weather22.csv,0.00793106369322,Low,Misc
Office_Ellie,2012-12-31 23:00:00,2012-01-01 00:00:00,,,Commercial Property,,,,Office,,496517.0,46127.91885,Bank/Financial Services,America/Los_Angeles,,Ellie,Office,weather28.csv,0.0082372268292,Low,Misc
PrimClass_Elisabeth,2012-12-31 23:00:00,2012-01-01 00:00:00,,,Education,,,,Primary/Secondary Classroom,,233062.0,21652.15899,Primary/Secondary School,America/New_York,,Elisabeth,PrimClass,weather23.csv,0.00859748017033,Low,Misc
Office_Cristina,2015-12-31 23:00:00,2015-01-01 00:00:00,,,Education,,,,Office,,92271.0,8572.252713,College/University,America/New_York,2001,Cristina,Office,weather2.csv,0.00930165007743,Low,Group3
PrimClass_Jolie,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Education,Gas,2.0,212.0,Primary/Secondary Classroom,C,31505.9353,2927.0,Primary/Secondary School,Europe/London,pre 1919,Jolie,PrimClass,weather1.csv,0.0104859180369,Low,Group2
PrimClass_Jaylin,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Education,Gas,2.0,219.0,Primary/Secondary Classroom,C,47070.5347,4373.0,Primary/Secondary School,Europe/London,1919-1945,Jaylin,PrimClass,weather1.csv,0.0122479606558,Low,Group2
Office_Jesus,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Government,Gas,1.0,40.0,Office,C,42646.5718,3962.0,"City, County, State",Europe/London,Post 1976,Jesus,Office,weather1.csv,0.0113325604348,Low,Group2
PrimClass_Esmeralda,2012-12-31 23:00:00,2012-01-01 00:00:00,,,Education,,,,Primary/Secondary Classroom,,276443.0,25682.38403,Primary/Secondary School,America/New_York,,Esmeralda,PrimClass,weather17.csv,0.0120332974353,Low,Misc
PrimClass_Eoghan,2012-12-31 23:00:00,2012-01-01 00:00:00,,,Education,,,,Primary/Secondary Classroom,,315404.0,29301.97781,Primary/Secondary School,America/New_York,,Eoghan,PrimClass,weather14.csv,0.0120335041913,Low,Misc
PrimClass_Edwin,2012-12-31 23:00:00,2012-01-01 00:00:00,,,Education,,,,Primary/Secondary Classroom,,77247.0,7176.478041,Primary/Secondary School,America/Denver,,Edwin,PrimClass,weather35.csv,0.0154198127685,Low,Misc
PrimClass_Eli,2012-12-31 23:00:00,2012-01-01 00:00:00,,,Education,,,,Primary/Secondary Classroom,,108405.0,10071.14972,Primary/Secondary School,America/New_York,,Eli,PrimClass,weather12.csv,0.0161710779877,Low,Misc
PrimClass_Ethel,2012-12-31 23:00:00,2012-01-01 00:00:00,,,Education,,,,Primary/Secondary Classroom,,92032.0,8550.048896,Primary/Secondary School,America/Denver,,Ethel,PrimClass,weather18.csv,0.0170222093278,Low,Misc
PrimClass_Ernesto,2012-12-31 23:00:00,2012-01-01 00:00:00,,,Education,,,,Primary/Secondary Classroom,,72333.0,6719.952699,Primary/Secondary School,America/Denver,,Ernesto,PrimClass,weather18.csv,0.0177372992903,Low,Misc
PrimClass_Emanuela,2012-12-31 23:00:00,2012-01-01 00:00:00,,,Education,,,,Primary/Secondary Classroom,,95132.0,8838.048196,Primary/Secondary School,America/Chicago,,Emanuela,PrimClass,weather26.csv,0.018931223884,Low,Misc
PrimClass_Emilio,2012-12-31 23:00:00,2012-01-01 00:00:00,,,Education,,,,Primary/Secondary Classroom,,105215.0,9774.789145,Primary/Secondary School,America/New_York,,Emilio,PrimClass,weather12.csv,0.0190140937393,Low,Misc
PrimClass_Eleanor,2012-12-31 23:00:00,2012-01-01 00:00:00,,,Education,,,,Primary/Secondary Classroom,,81681.0,7588.409943,Primary/Secondary School,America/New_York,,Eleanor,PrimClass,weather24.csv,0.0197438844027,Low,Misc
PrimClass_Ezekiel,2012-12-31 23:00:00,2012-01-01 00:00:00,,,Education,,,,Primary/Secondary Classroom,,153699.0,14279.0982,Primary/Secondary School,America/New_York,,Ezekiel,PrimClass,weather29.csv,0.020990290785,Low,Misc
PrimClass_Elliott,2012-12-31 23:00:00,2012-01-01 00:00:00,,,Education,,,,Primary/Secondary Classroom,,217241.0,20182.34062,Primary/Secondary School,America/New_York,,Elliott,PrimClass,weather15.csv,0.0213432357521,Low,Misc
PrimClass_Ellen,2012-12-31 23:00:00,2012-01-01 00:00:00,,,Education,,,,Primary/Secondary Classroom,,79503.0,7386.067209,Primary/Secondary School,America/Chicago,,Ellen,PrimClass,weather19.csv,0.0213155982416,Low,Misc
PrimClass_Evie,2012-12-31 23:00:00,2012-01-01 00:00:00,,,Education,,,,Primary/Secondary Classroom,,197266.0,18326.6032,Primary/Secondary School,America/Chicago,,Evie,PrimClass,weather11.csv,0.0215743178827,Low,Misc
PrimClass_Elijah,2012-12-31 23:00:00,2012-01-01 00:00:00,,,Education,,,,Primary/Secondary Classroom,,94150.0,8746.81745,Primary/Secondary School,America/New_York,,Elijah,PrimClass,weather14.csv,0.0216028971488,Low,Misc
PrimClass_Ezra,2012-12-31 23:00:00,2012-01-01 00:00:00,,,Education,,,,Primary/Secondary Classroom,,92179.0,8563.705637,Primary/Secondary School,America/New_York,,Ezra,PrimClass,weather17.csv,0.0216035272318,Low,Misc
PrimClass_Edmund,2012-12-31 23:00:00,2012-01-01 00:00:00,,,Education,,,,Primary/Secondary Classroom,,86867.0,8070.204901,Primary/Secondary School,America/New_York,,Edmund,PrimClass,weather15.csv,0.0223170060869,Low,Misc
PrimClass_Eva,2012-12-31 23:00:00,2012-01-01 00:00:00,,,Education,,,,Primary/Secondary Classroom,,132737.0,12331.66551,Primary/Secondary School,America/New_York,,Eva,PrimClass,weather15.csv,0.0229858744938,Low,Misc
Office_Erik,2012-12-31 23:00:00,2012-01-01 00:00:00,,,Commercial Property,,,,Office,,126205.0,11724.82312,Business Services,America/New_York,,Erik,Office,weather14.csv,0.0266420097927,Low,Misc
PrimClass_Ebony,2012-12-31 23:00:00,2012-01-01 00:00:00,,,Education,,,,Primary/Secondary Classroom,,175537.0,16307.91391,Primary/Secondary School,America/Chicago,,Ebony,PrimClass,weather11.csv,0.0271686340403,Low,Misc
PrimClass_Ethan,2012-12-31 23:00:00,2012-01-01 00:00:00,,,Education,,,,Primary/Secondary Classroom,,80224.0,7453.050272,Primary/Secondary School,America/New_York,,Ethan,PrimClass,weather38.csv,0.0290890329133,Low,Misc
PrimClass_Elmer,2012-12-31 23:00:00,2012-01-01 00:00:00,,,Education,,,,Primary/Secondary Classroom,,97901.0,9095.296603,Primary/Secondary School,America/Chicago,,Elmer,PrimClass,weather11.csv,0.0293367139595,Low,Misc
PrimClass_Ervin,2012-12-31 23:00:00,2012-01-01 00:00:00,,,Education,,,,Primary/Secondary Classroom,,117074.0,10876.52582,Primary/Secondary School,America/New_York,,Ervin,PrimClass,weather16.csv,0.0289356220646,Low,Misc
PrimClass_Uma,2013-01-31 23:00:00,2012-02-02 00:00:00,,,Education,,,,Primary/Secondary Classroom,,107639.0,10000.0,Primary/Secondary School,Asia/Singapore,,Uma,PrimClass,weather10.csv,0.0296196038251,Low,Misc
UnivClass_Tamra,2013-12-31 23:00:00,2013-01-01 00:00:00,,,Education,,,,College Classroom,,5389.48473,500.7,College/University,Europe/Zurich,,Tamra,UnivClass,weather8.csv,0.0305149289458,Low,Misc
